29,指环王2：双塔奇兵,http://p0.meituan.net/movie/5cfa597a98b35ee4ee598695942641ba287922.jpg@160w_220h_1e_1c,主演：伊利亚•伍德,伊恩·麦克莱恩,丽芙•泰勒,9.,1
30,机器人总动员,http://p1.meituan.net/movie/4592eef6b6dffcd1d950f55f41ab098f239816.jpg@160w_220h_1e_1c,主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林,9.,3
31,拯救大兵瑞恩,http://p1.meituan.net/movie/779bcc212a50a2526343362778f6b63c334618.jpg@160w_220h_1e_1c,主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔,8.,9
32,活着,http://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@160w_220h_1e_1c,主演：葛优,巩俐,牛犇,9.,0
33,天堂电影院,http://p1.meituan.net/movie/618e57ddb3173de6bbf2e278946b11f279679.jpg@160w_220h_1e_1c,主演：菲利普·努瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托,9.,2
34,盗梦空间,http://p1.meituan.net/movie/2f344a9f9575edbcae9f0abe0578bc90339773.jpg@160w_220h_1e_1c,主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特,9.,2
35,东邪西毒,http://p1.meituan.net/movie/7e471a9171a410ebc9413b2f1de67afc130067.jpg@160w_220h_1e_1c,主演：张国荣,梁朝伟,刘嘉玲,8.,9
36,哈尔的移动城堡,http://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@160w_220h_1e_1c,主演：倍赏千惠子,木村拓哉,美轮明宏,9.,0
37,忠犬八公的故事,http://p0.meituan.net/movie/7787c10ad5e95b03cf83ef9473500d8e282796.jpg@160w_220h_1e_1c,主演：Forest,理查·基尔,琼·艾伦,9.,3
38,幽灵公主,http://p0.meituan.net/movie/6ab1882a217e848acceb240365043d53329196.jpg@160w_220h_1e_1c,主演：松田洋治,石田百合子,田中裕子,8.,9
39,搏击俱乐部,http://p1.meituan.net/movie/c5e76795bf7a78b12a2ffabb4a0c5c11112921.jpg@160w_220h_1e_1c,主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,8.,8
40,疯狂原始人,http://p1.meituan.net/movie/d5e5e53ef9bbd98223e83df261b51b84103223.jpg@160w_220h_1e_1c,主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹,9.,5
41,风之谷,http://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@160w_220h_1e_1c,主演：岛本须美,永井一郎,坂本千夏,8.,9
42,阿凡达,http://p1.meituan.net/movie/91f575ec93f019f428d1f33e3ceca7c5115495.jpg@160w_220h_1e_1c,主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹,9.,0
43,V字仇杀队,http://p1.meituan.net/movie/4a4c84aa103ab47202f1aa907c5542a4128882.jpg@160w_220h_1e_1c,主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞,8.,8
44,放牛班的春天,http://p0.meituan.net/movie/7cd18fcf0b4f9180500124711e81492994030.jpg@160w_220h_1e_1c,主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔,8.,9
45,十二怒汉,http://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@160w_220h_1e_1c,主演：亨利·方达,李·科布,马丁·鲍尔萨姆,9.,1
46,当幸福来敲门,http://p1.meituan.net/movie/5896de3c1474277730e321c9b1db04a9205644.jpg@160w_220h_1e_1c,主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿,8.,9
47,勇敢的心,http://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@160w_220h_1e_1c,主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉,8.,8
48,速度与激情5,http://p1.meituan.net/movie/1d0fa86bcf7a44484b9c16ac6af5be68191952.jpg@160w_220h_1e_1c,主演：范•迪塞尔,保罗·沃克,道恩·强森,9.,2
